100 #times
100 #bins
10000 #throws each time
# number # chi squared # progressive mean of chi squared # progressive uncertainty of chi squared
1 103.36 103.36 -nan
2 85.14 94.25 9.11
3 98.9 95.8 5.4833
4 87.92 93.83 4.34904
5 105.1 96.084 4.05327
6 137.16 102.93 7.60397
7 85.74 100.474 6.87974
8 99.54 100.358 5.95917
9 95.92 99.8644 5.27857
10 121.64 102.042 5.19927
11 93.22 101.24 4.77081
12 79.1 99.395 4.72982
13 85.02 98.2892 4.48912
14 90.42 97.7271 4.19396
15 99.06 97.816 3.90537
16 121.22 99.2788 3.93511
17 99.92 99.3165 3.69658
18 88.56 98.7189 3.53603
19 102.92 98.94 3.35205
20 120.98 100.042 3.36557
21 86.22 99.3838 3.26825
22 116.78 100.175 3.21492
23 123.8 101.202 3.23915
24 92.56 100.842 3.12208
25 98.02 100.729 2.99672
26 102.34 100.791 2.87982
27 92.34 100.478 2.78873
28 103.16 100.574 2.689
29 79.44 99.8448 2.69501
30 123.34 100.628 2.71887
31 88.9 100.25 2.65678
32 90.88 99.9569 2.58902
33 106.58 100.158 2.51735
34 94.46 99.99 2.44793
35 101.5 100.033 2.37736
36 85.52 99.63 2.34528
37 105 99.7751 2.28563
38 133.22 100.655 2.39244
39 96.64 100.552 2.33256
40 95.16 100.418 2.27749
41 102.76 100.475 2.22199
42 107.68 100.646 2.17521
43 113.9 100.954 2.14627
44 115.6 101.287 2.12318
45 113.24 101.553 2.09239
46 109.42 101.724 2.05353
47 115.5 102.017 2.03063
48 104.76 102.074 1.98869
49 106.86 102.172 1.95013
50 92.06 101.97 1.92141
51 132.08 102.56 1.97373
52 100.28 102.516 1.93589
53 105.66 102.575 1.89994
54 99.08 102.511 1.86555
55 81.88 102.136 1.86934
56 102.14 102.136 1.83565
57 88.8 101.902 1.81828
58 94.56 101.775 1.79113
59 91.84 101.607 1.76855
60 108.66 101.724 1.74279
61 120.68 102.035 1.74192
62 85.96 101.776 1.7331
63 85.92 101.524 1.72384
64 86.64 101.292 1.71256
65 94 101.179 1.68973
66 88.9 100.993 1.6743
67 107.42 101.089 1.65191
68 102.5 101.11 1.62757
69 113.28 101.286 1.61348
70 118.88 101.538 1.61
71 94.4 101.437 1.59034
72 90.5 101.285 1.57544
73 88.86 101.115 1.563
74 89.36 100.956 1.5499
75 75.46 100.616 1.56643
76 90.92 100.489 1.55093
77 87.54 100.321 1.53987
78 84.2 100.114 1.53399
79 116.44 100.321 1.52848
80 126.02 100.642 1.54306
81 89.98 100.51 1.52957
82 97.86 100.478 1.51114
83 84.8 100.289 1.50473
84 100.22 100.288 1.48671
85 82.34 100.077 1.48421
86 78.96 99.8314 1.48726
87 87.86 99.6938 1.47649
88 126.68 100 1.49148
89 83.14 99.811 1.48675
90 108.58 99.9084 1.47336
91 117.26 100.099 1.4695
92 116.42 100.277 1.46423
93 81.04 100.07 1.4631
94 97.44 100.042 1.44772
95 79.22 99.8225 1.44907
96 99.66 99.8208 1.4339
97 100.22 99.8249 1.41904
98 95.24 99.7782 1.40527
99 89.88 99.6782 1.39459
100 108.24 99.7638 1.38322
